chainId,chainName,chainLogoURI,day1TxCount,day2TxCount,day3TxCount,day4TxCount,day5TxCount,day6TxCount,day7TxCount,weeklyTxCount,weeklyContractsDeployed,weeklyActiveAddresses,totalIcmMessages
75887,"qr0624t2ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66005,"qr0630t1mp","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51206,"qr0630t1ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
936903,"qr0719t1ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
931499,"qr0830t1ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64764,"qr1125t1tp","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
95251,"qr1127t2mp","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57759,"qr1218t1mp","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31
7766,"qr1219t1ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
912888,"qr1223t1ms","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64273,"really","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111003001,"rymedic","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111001001,"rymedii","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111002001,"rymedit","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2044,"Shrapnel L1","https://images.ctfassets.net/gcj8jwzm6086/3bCKwLkE3vlwnMr52R0RXr/fe8ac511db870a7487986795cb14621e/token-logo.png",462,2163,1929,1822,1488,1956,1930,11750,0,257,N/A
9899,"solert","",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8227,"Space L1","https://images.ctfassets.net/gcj8jwzm6086/27oUMNb9hSTA7HfFRnqUtZ/2f80e6b277f4b4ee971675b5f73c06bf/Space_Symbol_256X256__v2.svg",3132,9328,9062,9175,8852,9254,9166,57969,0,283,N/A
1234,"stepnetwork","",2148,3068,5948,5361,5976,4866,5947,33314,1,1114,N/A
5566,"StraitsX L1","https://images.ctfassets.net/gcj8jwzm6086/3jGGJxIwb3GjfSEJFXkpj9/2ea8ab14f7280153905a29bb91b59ccb/icon.png",606,1063,1089,1082,2090,970,990,7890,0,758,36
62707,"tele1","",0,0,0,0,0,0,0,0,0,0,N/A
70953,"tele2","",0,0,0,0,0,0,0,0,0,0,N/A
